rut,nombre,cursoId,anio
96514992-1,Diego Morales,2MB,2024
58780933-5,Luis Sanchez,2MB,2024
34552187-9,Juan Perez,2MB,2024
86466451-9,Jorge Lopez,2MB,2024
76189482-0,Pedro Sanchez,2MB,2024
56931800-7,Camila Diaz,2MB,2024
73444990-7,Luis Morales,2MB,2024
95393714-4,Maria Morales,2MB,2024
43083744-0,Luis Sanchez,2MB,2024
74756747-5,Jorge Diaz,2MB,2024
80263182-6,Sofia Gomez,2MB,2024
92231647-4,Carlos Gomez,2MB,2024
81617397-8,Valentina Diaz,2MB,2024
33377882-7,Jorge Vargas,2MB,2024
95989234-0,Luis Gomez,2MB,2024
