rut,nombre,cursoId,anio
80271818-4,Valentina Sanchez,4B,2024
98276763-6,Martina Rojas,4B,2024
43338997-7,Carlos Gomez,4B,2024
24936844-9,Juan Fuentes,4B,2024
40431695-1,Pedro Perez,4B,2024
56490400-1,Jorge Vargas,4B,2024
14642059-6,Sofia Gomez,4B,2024
86211330-1,Carlos Morales,4B,2024
86587924-6,Ana Diaz,4B,2024
95279778-6,Juan Vargas,4B,2024
13936154-6,Luis Morales,4B,2024
62247531-7,Camila Fuentes,4B,2024
55167127-2,Camila Perez,4B,2024
85269192-4,Jorge Rojas,4B,2024
16316991-6,Pedro Castro,4B,2024
