rut,fecha,estado,justificada,motivo
80271818-4,2024-03-01,PRESENTE,false,
80271818-4,2024-03-02,AUSENTE,true,Certificado medico
80271818-4,2024-03-03,AUSENTE,false,
80271818-4,2024-03-04,SALIDA_ANTICIPADA,false,
80271818-4,2024-03-05,SALIDA_ANTICIPADA,false,
80271818-4,2024-03-06,PRESENTE,false,
80271818-4,2024-03-07,AUSENTE,true,Certificado medico
80271818-4,2024-03-08,AUSENTE,true,Certificado medico
80271818-4,2024-03-09,PRESENTE,false,
80271818-4,2024-03-10,SALIDA_ANTICIPADA,false,
98276763-6,2024-03-01,PRESENTE,false,
98276763-6,2024-03-02,PRESENTE,false,
98276763-6,2024-03-03,SALIDA_ANTICIPADA,false,
98276763-6,2024-03-04,AUSENTE,false,
98276763-6,2024-03-05,PRESENTE,false,
98276763-6,2024-03-06,PRESENTE,false,
98276763-6,2024-03-07,SALIDA_ANTICIPADA,false,
98276763-6,2024-03-08,SALIDA_ANTICIPADA,false,
98276763-6,2024-03-09,PRESENTE,false,
98276763-6,2024-03-10,PRESENTE,false,
43338997-7,2024-03-01,SALIDA_ANTICIPADA,false,
43338997-7,2024-03-02,AUSENTE,false,
43338997-7,2024-03-03,PRESENTE,false,
43338997-7,2024-03-04,SALIDA_ANTICIPADA,false,
43338997-7,2024-03-05,AUSENTE,true,Certificado medico
43338997-7,2024-03-06,PRESENTE,false,
43338997-7,2024-03-07,SALIDA_ANTICIPADA,false,
43338997-7,2024-03-08,AUSENTE,false,
43338997-7,2024-03-09,PRESENTE,false,
43338997-7,2024-03-10,AUSENTE,false,
24936844-9,2024-03-01,PRESENTE,false,
24936844-9,2024-03-02,SALIDA_ANTICIPADA,false,
24936844-9,2024-03-03,SALIDA_ANTICIPADA,false,
24936844-9,2024-03-04,PRESENTE,false,
24936844-9,2024-03-05,AUSENTE,false,
24936844-9,2024-03-06,SALIDA_ANTICIPADA,false,
24936844-9,2024-03-07,AUSENTE,false,
24936844-9,2024-03-08,AUSENTE,true,Certificado medico
24936844-9,2024-03-09,AUSENTE,false,
24936844-9,2024-03-10,PRESENTE,false,
40431695-1,2024-03-01,SALIDA_ANTICIPADA,false,
40431695-1,2024-03-02,PRESENTE,false,
40431695-1,2024-03-03,AUSENTE,true,Certificado medico
40431695-1,2024-03-04,SALIDA_ANTICIPADA,false,
40431695-1,2024-03-05,SALIDA_ANTICIPADA,false,
40431695-1,2024-03-06,PRESENTE,false,
40431695-1,2024-03-07,AUSENTE,false,
40431695-1,2024-03-08,PRESENTE,false,
40431695-1,2024-03-09,PRESENTE,false,
40431695-1,2024-03-10,SALIDA_ANTICIPADA,false,
56490400-1,2024-03-01,AUSENTE,true,Certificado medico
56490400-1,2024-03-02,PRESENTE,false,
56490400-1,2024-03-03,PRESENTE,false,
56490400-1,2024-03-04,SALIDA_ANTICIPADA,false,
56490400-1,2024-03-05,PRESENTE,false,
56490400-1,2024-03-06,SALIDA_ANTICIPADA,false,
56490400-1,2024-03-07,AUSENTE,false,
56490400-1,2024-03-08,SALIDA_ANTICIPADA,false,
56490400-1,2024-03-09,AUSENTE,true,Certificado medico
56490400-1,2024-03-10,PRESENTE,false,
14642059-6,2024-03-01,SALIDA_ANTICIPADA,false,
14642059-6,2024-03-02,PRESENTE,false,
14642059-6,2024-03-03,SALIDA_ANTICIPADA,false,
14642059-6,2024-03-04,PRESENTE,false,
14642059-6,2024-03-05,PRESENTE,false,
14642059-6,2024-03-06,SALIDA_ANTICIPADA,false,
14642059-6,2024-03-07,SALIDA_ANTICIPADA,false,
14642059-6,2024-03-08,AUSENTE,false,
14642059-6,2024-03-09,SALIDA_ANTICIPADA,false,
14642059-6,2024-03-10,SALIDA_ANTICIPADA,false,
86211330-1,2024-03-01,PRESENTE,false,
86211330-1,2024-03-02,PRESENTE,false,
86211330-1,2024-03-03,AUSENTE,false,
86211330-1,2024-03-04,SALIDA_ANTICIPADA,false,
86211330-1,2024-03-05,AUSENTE,true,Certificado medico
86211330-1,2024-03-06,PRESENTE,false,
86211330-1,2024-03-07,PRESENTE,false,
86211330-1,2024-03-08,AUSENTE,true,Certificado medico
86211330-1,2024-03-09,SALIDA_ANTICIPADA,false,
86211330-1,2024-03-10,AUSENTE,false,
86587924-6,2024-03-01,AUSENTE,false,
86587924-6,2024-03-02,SALIDA_ANTICIPADA,false,
86587924-6,2024-03-03,PRESENTE,false,
86587924-6,2024-03-04,AUSENTE,false,
86587924-6,2024-03-05,PRESENTE,false,
86587924-6,2024-03-06,AUSENTE,false,
86587924-6,2024-03-07,AUSENTE,false,
86587924-6,2024-03-08,PRESENTE,false,
86587924-6,2024-03-09,AUSENTE,true,Certificado medico
86587924-6,2024-03-10,AUSENTE,false,
95279778-6,2024-03-01,PRESENTE,false,
95279778-6,2024-03-02,PRESENTE,false,
95279778-6,2024-03-03,PRESENTE,false,
95279778-6,2024-03-04,AUSENTE,true,Certificado medico
