rut,nombre,cursoId,anio
12908381-6,Martina Diaz,1B,2024
32096175-4,Juan Diaz,1B,2024
17672121-3,Maria Rojas,1B,2024
63877767-5,Martina Gomez,1B,2024
64721670-6,Martina Lopez,1B,2024
26299461-2,Valentina Diaz,1B,2024
36552892-2,Carlos Castro,1B,2024
85314306-2,Maria Lopez,1B,2024
96899717-0,Pedro Diaz,1B,2024
11579385-7,Juan Sanchez,1B,2024
92103893-4,Maria Morales,1B,2024
85598605-9,Pedro Morales,1B,2024
80054788-7,Maria Castro,1B,2024
45580364-1,Sofia Castro,1B,2024
56604639-2,Valentina Perez,1B,2024
