rut,nombre,cursoId,anio
67819265-3,Luis Castro,7B,2024
37055131-8,Diego Perez,7B,2024
42095503-1,Carlos Castro,7B,2024
99048779-7,Luis Perez,7B,2024
51665611-0,Carlos Diaz,7B,2024
21974805-0,Juan Diaz,7B,2024
24349037-7,Sofia Fuentes,7B,2024
28809089-9,Valentina Rojas,7B,2024
36255853-1,Pedro Morales,7B,2024
45327256-8,Maria Morales,7B,2024
84482477-0,Juan Perez,7B,2024
96491448-5,Ana Diaz,7B,2024
56522740-4,Maria Gomez,7B,2024
42240991-6,Camila Sanchez,7B,2024
42039621-8,Carlos Diaz,7B,2024
