rut,fecha,estado,justificada,motivo
90803893-2,2025-03-01,SALIDA_ANTICIPADA,false,
90803893-2,2025-03-02,SALIDA_ANTICIPADA,false,
90803893-2,2025-03-03,PRESENTE,false,
90803893-2,2025-03-04,PRESENTE,false,
90803893-2,2025-03-05,AUSENTE,true,Certificado medico
78289702-2,2025-03-01,SALIDA_ANTICIPADA,false,
78289702-2,2025-03-02,AUSENTE,false,
78289702-2,2025-03-03,PRESENTE,false,
78289702-2,2025-03-04,SALIDA_ANTICIPADA,false,
78289702-2,2025-03-05,PRESENTE,false,
45800720-8,2025-03-01,PRESENTE,false,
45800720-8,2025-03-02,SALIDA_ANTICIPADA,false,
45800720-8,2025-03-03,PRESENTE,false,
45800720-8,2025-03-04,AUSENTE,false,
45800720-8,2025-03-05,SALIDA_ANTICIPADA,false,
36449418-6,2025-03-01,PRESENTE,false,
36449418-6,2025-03-02,PRESENTE,false,
36449418-6,2025-03-03,PRESENTE,false,
36449418-6,2025-03-04,PRESENTE,false,
36449418-6,2025-03-05,SALIDA_ANTICIPADA,false,
67201818-5,2025-03-01,PRESENTE,false,
67201818-5,2025-03-02,SALIDA_ANTICIPADA,false,
67201818-5,2025-03-03,SALIDA_ANTICIPADA,false,
67201818-5,2025-03-04,SALIDA_ANTICIPADA,false,
67201818-5,2025-03-05,AUSENTE,true,Certificado medico
93981543-9,2025-03-01,AUSENTE,false,
93981543-9,2025-03-02,SALIDA_ANTICIPADA,false,
93981543-9,2025-03-03,AUSENTE,false,
93981543-9,2025-03-04,PRESENTE,false,
93981543-9,2025-03-05,PRESENTE,false,
80400931-1,2025-03-01,AUSENTE,false,
80400931-1,2025-03-02,SALIDA_ANTICIPADA,false,
80400931-1,2025-03-03,AUSENTE,false,
80400931-1,2025-03-04,PRESENTE,false,
80400931-1,2025-03-05,AUSENTE,true,Certificado medico
28976023-9,2025-03-01,PRESENTE,false,
28976023-9,2025-03-02,AUSENTE,true,Certificado medico
28976023-9,2025-03-03,SALIDA_ANTICIPADA,false,
28976023-9,2025-03-04,AUSENTE,false,
28976023-9,2025-03-05,AUSENTE,false,
60525559-5,2025-03-01,PRESENTE,false,
60525559-5,2025-03-02,SALIDA_ANTICIPADA,false,
60525559-5,2025-03-03,PRESENTE,false,
60525559-5,2025-03-04,AUSENTE,true,Certificado medico
60525559-5,2025-03-05,SALIDA_ANTICIPADA,false,
58263114-9,2025-03-01,PRESENTE,false,
58263114-9,2025-03-02,AUSENTE,false,
58263114-9,2025-03-03,AUSENTE,true,Certificado medico
58263114-9,2025-03-04,PRESENTE,false,
58263114-9,2025-03-05,AUSENTE,false,
