rut,fecha,estado,justificada,motivo
80089864-0,2025-03-01,PRESENTE,false,
80089864-0,2025-03-02,AUSENTE,false,
80089864-0,2025-03-03,SALIDA_ANTICIPADA,false,
80089864-0,2025-03-04,SALIDA_ANTICIPADA,false,
80089864-0,2025-03-05,SALIDA_ANTICIPADA,false,
66882419-0,2025-03-01,SALIDA_ANTICIPADA,false,
66882419-0,2025-03-02,PRESENTE,false,
66882419-0,2025-03-03,SALIDA_ANTICIPADA,false,
66882419-0,2025-03-04,PRESENTE,false,
66882419-0,2025-03-05,SALIDA_ANTICIPADA,false,
74791793-7,2025-03-01,PRESENTE,false,
74791793-7,2025-03-02,SALIDA_ANTICIPADA,false,
74791793-7,2025-03-03,PRESENTE,false,
74791793-7,2025-03-04,SALIDA_ANTICIPADA,false,
74791793-7,2025-03-05,AUSENTE,false,
44634754-4,2025-03-01,AUSENTE,true,Certificado medico
44634754-4,2025-03-02,SALIDA_ANTICIPADA,false,
44634754-4,2025-03-03,PRESENTE,false,
44634754-4,2025-03-04,SALIDA_ANTICIPADA,false,
44634754-4,2025-03-05,SALIDA_ANTICIPADA,false,
51958406-5,2025-03-01,SALIDA_ANTICIPADA,false,
51958406-5,2025-03-02,SALIDA_ANTICIPADA,false,
51958406-5,2025-03-03,PRESENTE,false,
51958406-5,2025-03-04,SALIDA_ANTICIPADA,false,
51958406-5,2025-03-05,AUSENTE,true,Certificado medico
21887174-3,2025-03-01,SALIDA_ANTICIPADA,false,
21887174-3,2025-03-02,SALIDA_ANTICIPADA,false,
21887174-3,2025-03-03,PRESENTE,false,
21887174-3,2025-03-04,PRESENTE,false,
21887174-3,2025-03-05,AUSENTE,false,
43929338-5,2025-03-01,AUSENTE,false,
43929338-5,2025-03-02,SALIDA_ANTICIPADA,false,
43929338-5,2025-03-03,SALIDA_ANTICIPADA,false,
43929338-5,2025-03-04,SALIDA_ANTICIPADA,false,
43929338-5,2025-03-05,PRESENTE,false,
76580806-0,2025-03-01,PRESENTE,false,
76580806-0,2025-03-02,PRESENTE,false,
76580806-0,2025-03-03,AUSENTE,false,
76580806-0,2025-03-04,SALIDA_ANTICIPADA,false,
76580806-0,2025-03-05,PRESENTE,false,
24711505-5,2025-03-01,AUSENTE,true,Certificado medico
24711505-5,2025-03-02,PRESENTE,false,
24711505-5,2025-03-03,SALIDA_ANTICIPADA,false,
24711505-5,2025-03-04,PRESENTE,false,
24711505-5,2025-03-05,PRESENTE,false,
75611651-3,2025-03-01,PRESENTE,false,
75611651-3,2025-03-02,PRESENTE,false,
75611651-3,2025-03-03,SALIDA_ANTICIPADA,false,
75611651-3,2025-03-04,PRESENTE,false,
75611651-3,2025-03-05,SALIDA_ANTICIPADA,false,
