rut,fecha,estado,justificada,motivo
26675779-3,2025-03-01,SALIDA_ANTICIPADA,false,
26675779-3,2025-03-02,SALIDA_ANTICIPADA,false,
26675779-3,2025-03-03,PRESENTE,false,
26675779-3,2025-03-04,SALIDA_ANTICIPADA,false,
26675779-3,2025-03-05,PRESENTE,false,
80116778-0,2025-03-01,PRESENTE,false,
80116778-0,2025-03-02,PRESENTE,false,
80116778-0,2025-03-03,SALIDA_ANTICIPADA,false,
80116778-0,2025-03-04,AUSENTE,true,Certificado medico
80116778-0,2025-03-05,AUSENTE,true,Certificado medico
86492862-4,2025-03-01,PRESENTE,false,
86492862-4,2025-03-02,PRESENTE,false,
86492862-4,2025-03-03,AUSENTE,false,
86492862-4,2025-03-04,PRESENTE,false,
86492862-4,2025-03-05,AUSENTE,false,
24321888-1,2025-03-01,SALIDA_ANTICIPADA,false,
24321888-1,2025-03-02,PRESENTE,false,
24321888-1,2025-03-03,SALIDA_ANTICIPADA,false,
24321888-1,2025-03-04,SALIDA_ANTICIPADA,false,
24321888-1,2025-03-05,PRESENTE,false,
46821026-3,2025-03-01,AUSENTE,true,Certificado medico
46821026-3,2025-03-02,SALIDA_ANTICIPADA,false,
46821026-3,2025-03-03,PRESENTE,false,
46821026-3,2025-03-04,SALIDA_ANTICIPADA,false,
46821026-3,2025-03-05,SALIDA_ANTICIPADA,false,
41596060-8,2025-03-01,AUSENTE,true,Certificado medico
41596060-8,2025-03-02,PRESENTE,false,
41596060-8,2025-03-03,SALIDA_ANTICIPADA,false,
41596060-8,2025-03-04,PRESENTE,false,
41596060-8,2025-03-05,PRESENTE,false,
94319542-3,2025-03-01,PRESENTE,false,
94319542-3,2025-03-02,AUSENTE,true,Certificado medico
94319542-3,2025-03-03,PRESENTE,false,
94319542-3,2025-03-04,PRESENTE,false,
94319542-3,2025-03-05,PRESENTE,false,
34238813-2,2025-03-01,AUSENTE,true,Certificado medico
34238813-2,2025-03-02,SALIDA_ANTICIPADA,false,
34238813-2,2025-03-03,AUSENTE,true,Certificado medico
34238813-2,2025-03-04,SALIDA_ANTICIPADA,false,
34238813-2,2025-03-05,PRESENTE,false,
54333465-2,2025-03-01,PRESENTE,false,
54333465-2,2025-03-02,PRESENTE,false,
54333465-2,2025-03-03,SALIDA_ANTICIPADA,false,
54333465-2,2025-03-04,SALIDA_ANTICIPADA,false,
54333465-2,2025-03-05,PRESENTE,false,
74145617-6,2025-03-01,SALIDA_ANTICIPADA,false,
74145617-6,2025-03-02,PRESENTE,false,
74145617-6,2025-03-03,AUSENTE,true,Certificado medico
74145617-6,2025-03-04,SALIDA_ANTICIPADA,false,
74145617-6,2025-03-05,SALIDA_ANTICIPADA,false,
