rut,fecha,estado,justificada,motivo
52150980-6,2025-03-01,SALIDA_ANTICIPADA,false,
52150980-6,2025-03-02,AUSENTE,true,Certificado medico
52150980-6,2025-03-03,PRESENTE,false,
52150980-6,2025-03-04,SALIDA_ANTICIPADA,false,
52150980-6,2025-03-05,AUSENTE,false,
85989989-3,2025-03-01,SALIDA_ANTICIPADA,false,
85989989-3,2025-03-02,PRESENTE,false,
85989989-3,2025-03-03,SALIDA_ANTICIPADA,false,
85989989-3,2025-03-04,SALIDA_ANTICIPADA,false,
85989989-3,2025-03-05,PRESENTE,false,
44133165-6,2025-03-01,SALIDA_ANTICIPADA,false,
44133165-6,2025-03-02,AUSENTE,true,Certificado medico
44133165-6,2025-03-03,SALIDA_ANTICIPADA,false,
44133165-6,2025-03-04,PRESENTE,false,
44133165-6,2025-03-05,SALIDA_ANTICIPADA,false,
98835816-0,2025-03-01,PRESENTE,false,
98835816-0,2025-03-02,SALIDA_ANTICIPADA,false,
98835816-0,2025-03-03,SALIDA_ANTICIPADA,false,
98835816-0,2025-03-04,SALIDA_ANTICIPADA,false,
98835816-0,2025-03-05,SALIDA_ANTICIPADA,false,
73311115-6,2025-03-01,PRESENTE,false,
73311115-6,2025-03-02,PRESENTE,false,
73311115-6,2025-03-03,SALIDA_ANTICIPADA,false,
73311115-6,2025-03-04,PRESENTE,false,
73311115-6,2025-03-05,AUSENTE,true,Certificado medico
38244676-1,2025-03-01,AUSENTE,false,
38244676-1,2025-03-02,PRESENTE,false,
38244676-1,2025-03-03,AUSENTE,false,
38244676-1,2025-03-04,AUSENTE,false,
38244676-1,2025-03-05,PRESENTE,false,
82924334-1,2025-03-01,AUSENTE,false,
82924334-1,2025-03-02,AUSENTE,false,
82924334-1,2025-03-03,AUSENTE,false,
82924334-1,2025-03-04,AUSENTE,true,Certificado medico
82924334-1,2025-03-05,AUSENTE,true,Certificado medico
54219822-9,2025-03-01,AUSENTE,false,
54219822-9,2025-03-02,SALIDA_ANTICIPADA,false,
54219822-9,2025-03-03,SALIDA_ANTICIPADA,false,
54219822-9,2025-03-04,SALIDA_ANTICIPADA,false,
54219822-9,2025-03-05,AUSENTE,true,Certificado medico
97058900-1,2025-03-01,PRESENTE,false,
97058900-1,2025-03-02,AUSENTE,false,
97058900-1,2025-03-03,PRESENTE,false,
97058900-1,2025-03-04,AUSENTE,true,Certificado medico
97058900-1,2025-03-05,PRESENTE,false,
43725576-1,2025-03-01,PRESENTE,false,
43725576-1,2025-03-02,PRESENTE,false,
43725576-1,2025-03-03,PRESENTE,false,
43725576-1,2025-03-04,AUSENTE,true,Certificado medico
43725576-1,2025-03-05,SALIDA_ANTICIPADA,false,
